Membership No  Date Joined  Active  
    81604      2020-12-14   yes   
    95537      2017-9-14    no    
    66494      2018-8-24    yes   
    67157      2017-3-16    yes   
    48279      2016-7-7     no    
    30967      2019-2-13    no    
    94313      2015-7-3     no    
    50728      2017-10-7    yes   
    34849      2017-2-17    no    
    53527      2020-6-22    no    
    64432      2019-6-9     yes   
    40700      2019-4-17    no    
    28383      2019-9-17    yes   
    29662      2020-6-3     no    
    31901      2019-2-15    no    
    50830      2016-3-12    no    
    16146      2016-10-15   yes   
    77525      2016-8-20    no    
    40585      2017-11-18   yes   
    42251      2015-3-23    no    
